"","Start.station","End.station","count"
"1","Lake Street & Knox Ave S","Lake Street & Knox Ave S",4853
"2","Lake Calhoun Center","Lake Calhoun Center",3171
"3","Lake Harriet Bandshell","Lake Harriet Bandshell",2650
"4","Lake Como Pavilion","Lake Como Pavilion",2156
"5","W 36th Street & W Calhoun Parkway","W 36th Street & W Calhoun Parkway",2036
"6","Willey Hall","Weisman Art Museum",1857
"7","Weisman Art Museum","Willey Hall",1832
"8","Minnehaha Park","Minnehaha Park",1647
"9","Weisman Art Museum","Social Sciences",1574
"10","Lake Nokomis","Lake Nokomis",1361
"11","Social Sciences","Weisman Art Museum",1245
"12","11th Ave S & S 2nd Street","11th Ave S & S 2nd Street",1022
"13","100 Main Street SE","100 Main Street SE",968
"14","Washington Ave SE & Union Street SE","4th Street & 13th Ave SE",934
"15","4th Street & 13th Ave SE","Washington Ave SE & Union Street SE",919
"16","Harriet Island","Harriet Island",913
"17","Lake Street & Knox Ave S","Lake Harriet Bandshell",838
"18","Hiawatha Ave & E 50th Street","Hiawatha Ave & E 50th Street",835
"19","W 36th Street & W Calhoun Parkway","Lake Street & Knox Ave S",828
"20","Washington Ave SE & Union Street SE","15th Ave SE & 4th Street SE",822
"21","Upper Landing","Upper Landing",814
"22","Lake Calhoun Center","Lake Street & Knox Ave S",805
"23","Lake Street & Knox Ave S","W 36th Street & W Calhoun Parkway",790
"24","Fort Snelling State Park","Fort Snelling State Park",763
"25","Willey Hall","Coffman Union",744
"26","Willey Hall","Washington Ave SE & Union Street SE",734
"27","Lake Street & Knox Ave S","Lake Calhoun Center",732
"28","Lake Harriet Bandshell","Lake Street & Knox Ave S",711
"29","Washington Ave SE & Union Street SE","6th Ave SE & University Ave",707
"30","6th Ave SE & University Ave","Washington Ave SE & Union Street SE",682
"31","Coffman Union","Social Sciences",659
"32","15th Ave SE & 4th Street SE","Washington Ave SE & Union Street SE",638
"33","100 Main Street SE","11th Ave S & S 2nd Street",634
"34","Social Sciences","Coffman Union",632
"35","Mill City Quarter","Mill City Quarter",622
