,Name,Number,Latitude,Longitude,Total.docks
1,25th Street & 33rd Ave S,30001,44.957341,-93.223374,15
2,4th Street & 13th Ave SE,30009,44.98102,-93.23746,27
3,Hennepin & Laurel Ave,30010,44.97391,-93.28305,15
4,North 2nd Street & 4th Ave N,30011,44.986087,-93.272459,19
5,22nd Ave S & Franklin Ave,30014,44.96293,-93.241042,15
6,Lyndale Ave S & 22nd Street ,30017,44.960744,-93.28815,19
7,Chicago & 27th Street,30023,44.95355,-93.26259,15
8,Coffman Union,30024,44.973378,-93.234762,35
9,Williamson Hall,30025,44.977406,-93.234911,25
10,Mayo Memorial Building,30026,44.97209,-93.23206,25
11,Hennepin County Government Center,30029,44.976602,-93.266701,41
12,4th Street & 17th Ave SE,30032,44.97913,-93.23189,15
13,10th Street & Nicollet Mall,30039,44.973839,-93.274544,19
14,Franklin & Portland,30041,44.962846,-93.267526,15
15,IDS Center,30042,44.975641,-93.272185,23
16,Washington Ave S & 10th Ave S,30046,44.97654,-93.25535,19
17,Nicollet Ave & W 37th Street,30049,44.93531794,-93.27807784,15
18,7th Street & 4th Ave S,30051,44.97497,-93.266684,15
19,Nicollet Mall & Grant Street,30052,44.96995,-93.278133,15
20,Elliot Hall,30058,44.97685,-93.23818,15
21,Nicollet & Franklin,30060,44.96342,-93.277939,23
22,27th Ave SE & University Ave,30074,44.97259,-93.218919,15
23,Grand Ave & Fairview Ave,30085,44.940513,-93.177093,15
24,Grant Street & Portland Ave,30087,44.96954,-93.2669,15
25,6th Ave SE & University Ave,30088,44.983281,-93.24812,27
26,West 15th Street & Willow,30093,44.968237,-93.281991,23
27,West 32nd Street & Bryant Ave S,30094,44.94478,-93.29038,15
28,West 36th Street & Bryant Ave S,30095,44.93775,-93.2912,15
29,Pleasant Ave S &  Lake Street,30097,44.948556,-93.283163,15
30,Marshall Street NE & 8th Ave NE,30098,44.995348,-93.266854,15
31,Como Ave SE & 29th Ave SE,30109,44.987934,-93.212892,19
32,15th Ave SE & Como Ave SE,30110,44.987517,-93.230469,19
33,Central Ave NE & 22nd Ave NE,30112,45.00994,-93.247114,15
34,Washington Ave SE & Union Street SE,30115,44.97394,-93.2321,31
35,Selby Ave & Virginia Street,30137,44.9467,-93.1151,19
36,N 4th Ave & W River Parkway,30144,44.988461,-93.269087,15
37,Dupont Ave S & W 29th Street,30160,44.949699,-93.293129,15
38,Upton Ave S & Sheridan Ave S,30165,44.92515,-93.314597,15
39,SE 3rd Ave & University Ave SE,30171,44.985465,-93.252102,15
40,2nd Street SE & 5th Ave SE,30172,44.983321,-93.249653,15
41,3rd Street NE & Lowry Ave NE,30177,45.01304,-93.264573,15
42,5th Street NE & 1st Ave NE,30178,44.990328,-93.254295,15
43,3rd Street N & 8th Ave N,30180,44.987996,-93.279854,19
44,Sanford Hall,30182,44.980831,-93.240282,23
45,Weisman Art Museum,30183,44.973607,-93.237254,19
46,5th Street NE & 3rd Ave NE,30185,44.991821,-93.255558,15
47,S 5th Street & Nicollet Mall,30186,44.97866518,-93.27050328,19
48,Groveland Ave & Clifton Place,30187,44.966145,-93.286294,19
49,S 8th Street & 2nd Ave S,30188,44.974795,-93.270649,19
50,Delaware Street SE & 26th Ave SE,30189,44.972128,-93.221021,19
51,7th Street SE & 10th Ave SE,30190,44.985576,-93.238743,15
52,Elwood Ave N & Oak Park Ave N,30201,44.98716,-93.301944,15
