Number,1,2,3,4
30001,0,0,0,1
30009,0,0,1,0
30010,1,0,0,0
30011,0,1,0,0
30014,0,0,0,1
30017,1,0,0,0
30023,1,0,0,0
30024,0,0,0,1
30025,0,0,0,1
30026,0,0,0,1
30029,0,1,0,0
30032,0,0,0,1
30039,0,1,0,0
30041,0,1,0,0
30042,0,1,0,0
30046,0,0,1,0
30049,1,0,0,0
30051,0,1,0,0
30052,0,1,0,0
30058,0,0,1,0
30060,1,0,0,0
30074,0,0,0,1
30085,0,0,0,1
30087,0,1,0,0
30088,0,0,1,0
30093,1,0,0,0
30094,1,0,0,0
30095,1,0,0,0
30097,1,0,0,0
30098,0,1,0,0
30109,0,0,0,1
30110,0,0,1,0
30112,0,0,1,0
30115,0,0,0,1
30137,0,0,0,1
30144,0,1,0,0
30160,1,0,0,0
30165,1,0,0,0
30171,0,0,1,0
30172,0,0,1,0
30177,0,0,1,0
30178,0,0,1,0
30180,0,1,0,0
30182,0,0,1,0
30183,0,0,0,1
30185,0,0,1,0
30186,0,1,0,0
30187,1,0,0,0
30188,0,1,0,0
30189,0,0,0,1
30190,0,0,1,0
30201,1,0,0,0
