"","Stationnumber","date","weekday","RidesOut","RidesIn","Rideoutminusin","Name","Latitude","Longitude","Total.docks"
"1","30184",2017-11-05,"Sun",8,5,3,"Hennepin Ave & S Washington Ave",44.981895,-93.269195,23
"2","30122",2017-11-05,"Sun",2,2,0,"Broadway Street N & 4th Street E",44.94965,-93.0845,19
"3","30106",2017-11-05,"Sun",3,1,2,"Dale Street & Grand Ave.",44.939779,-93.126261,15
"4","30183",2017-11-05,"Sun",8,5,3,"Weisman Art Museum",44.973607,-93.237254,19
"5","30030",2017-11-05,"Sun",3,2,1,"South 2nd Street & 3rd Ave S",44.98092673,-93.26345444,23
"6","30197",2017-11-05,"Sun",6,7,-1,"15th Ave SE & 4th Street SE",44.979878,-93.234739,23
"7","30067",2017-11-05,"Sun",1,0,1,"Bryant Ave N & West Broadway",44.999341,-93.290941,15
"8","30101",2017-11-05,"Sun",2,2,0,"N Milton Street & Summit Ave",44.941599,-93.138832,15
"9","30051",2017-11-05,"Sun",4,3,1,"7th Street & 4th Ave S",44.97497,-93.266684,15
"10","30004",2017-11-05,"Sun",3,3,0,"11th Street & Hennepin",44.97534,-93.27869,23
"11","30115",2017-11-05,"Sun",9,7,2,"Washington Ave SE & Union Street SE",44.97394,-93.2321,31
"12","30186",2017-11-05,"Sun",5,5,0,"S 5th Street & Nicollet Mall",44.97866518,-93.27050328,19
"13","30192",2017-11-05,"Sun",1,3,-2,"Cooke Hall",44.976303,-93.230029,15
"14","30196",2017-11-05,"Sun",1,2,-1,"Civil Engineering",44.976096,-93.231958,23
"15","30057",2017-11-05,"Sun",9,4,5,"McNamara Center",44.9743,-93.22854,19
"16","30109",2017-11-05,"Sun",2,2,0,"Como Ave SE & 29th Ave SE",44.987934,-93.212892,19
"17","30088",2017-11-05,"Sun",8,7,1,"6th Ave SE & University Ave",44.983281,-93.24812,27
"18","30080",2017-11-05,"Sun",1,0,1,"Midtown YWCA",44.94823,-93.24054,15
"19","30039",2017-11-05,"Sun",6,3,3,"10th Street & Nicollet Mall",44.973839,-93.274544,19
"20","30047",2017-11-05,"Sun",6,8,-2,"University & Bank Street SE",44.98717,-93.25576,19
"21","30090",2017-11-05,"Sun",5,3,2,"Portland Ave & Washington Ave",44.978068,-93.26023,19
"22","30110",2017-11-05,"Sun",3,4,-1,"15th Ave SE & Como Ave SE",44.987517,-93.230469,19
"23","30013",2017-11-05,"Sun",4,1,3,"Lyndale Ave S & W 29th Street",44.94948465,-93.28822732,19
"24","30009",2017-11-05,"Sun",4,4,0,"4th Street & 13th Ave SE",44.98102,-93.23746,27
"25","30180",2017-11-05,"Sun",3,5,-2,"3rd Street N & 8th Ave N",44.987996,-93.279854,19
"26","30187",2017-11-05,"Sun",6,4,2,"Groveland Ave & Clifton Place",44.966145,-93.286294,19
"27","30029",2017-11-05,"Sun",2,2,0,"Hennepin County Government Center",44.976602,-93.266701,41
"28","30141",2017-11-05,"Sun",2,2,0,"N Robert Street & E 10th Street",44.951132,-93.094545,19
"29","30091",2017-11-05,"Sun",3,5,-2,"Gateway Park",44.9825943,-93.2675139,19
"30","30035",2017-11-05,"Sun",2,2,0,"Loring Park",44.9715,-93.284927,15
"31","30194",2017-11-05,"Sun",5,8,-3,"23rd Ave SE & University Ave SE",44.974397,-93.223002,23
"32","30027",2017-11-05,"Sun",2,2,0,"4th Street S & 19th Ave",44.97003,-93.24519,19
"33","30116",2017-11-05,"Sun",1,1,0,"Minnesota History Center",44.949053,-93.10673,15
"34","30011",2017-11-05,"Sun",6,1,5,"North 2nd Street & 4th Ave N",44.986087,-93.272459,19
"35","30032",2017-11-05,"Sun",4,3,1,"4th Street & 17th Ave SE",44.97913,-93.23189,15
"36","30018",2017-11-05,"Sun",1,4,-3,"MCAD",44.957214,-93.274981,17
"37","30176",2017-11-05,"Sun",2,2,0,"Washington Ave N & Cedar Lake Trail",44.985406,-93.274031,19
"38","30087",2017-11-05,"Sun",3,0,3,"Grant Street & Portland Ave",44.96954,-93.2669,15
"39","30034",2017-11-05,"Sun",4,5,-1,"Oak Street Ramp",44.97202,-93.22697,23
