,Stationnumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,30000,1.363636364,1.75,0,0,0,0,0.142857143,-0.176470588,1,-0.125,-0.25,-1.095238095,-0.5,-0.25,-0.095238095,0.086956522,-0.043478261,-1.130434783,-0.541666667,0.416666667,1.210526316,1,0.571428571,1.25
2,30001,1.666666667,0,0,0,0,1,1,1.263157895,1.153846154,0.571428571,-0.583333333,0.75,0.055555556,0.263157895,-0.5,0.545454545,-1.1,-2.48,-0.954545455,-0.533333333,-0.5,0,-1,0
3,30002,0.666666667,1,-2,0,1,0,-0.6,-1.1,-0.470588235,-0.166666667,0.1875,-0.095238095,-0.045454545,-0.363636364,-0.058823529,0.047619048,0.6,0.166666667,-0.333333333,0.875,0,-0.25,-1,0.333333333
4,30003,0,0,0,0,1,0,0,0.916666667,0.363636364,0,-1,0.4,-0.333333333,0,0.5,-0.25,0.333333333,0.2,-0.5,0,-1,0,0,0
5,30004,1.25,1,1.714285714,0.333333333,-1,-1,-0.333333333,0.470588235,-0.913043478,0.333333333,-0.210526316,-0.592592593,1.173913043,-0.136363636,0.05,-1.052631579,-0.263157895,1,0.28,-0.5,0,-0.066666667,0.055555556,1.333333333
6,30005,-0.5,0.333333333,-0.75,1,0,-0.333333333,0,1.6,1.727272727,0.875,-0.75,-0.733333333,-0.882352941,-0.235294118,0.461538462,-1,-0.6,-1.727272727,-1.043478261,-1.666666667,0.25,0.5,-0.333333333,-0.428571429
7,30006,0.4,1,2,1,0,0,-1,0.185185185,0.137931034,0.409090909,1.25,0.444444444,-0.173913043,-0.65,1.2,-0.157894737,-0.423076923,2.071428571,1.125,0.888888889,-0.409090909,0.1875,-0.777777778,-0.8
8,30007,2.25,1,0,0,1,1,0.25,-0.722222222,-2,-2.192307692,-1.857142857,0.933333333,0.565217391,-0.19047619,-0.2,0.631578947,1.925925926,2.28,0.764705882,-0.466666667,0.133333333,-0.285714286,-0.222222222,0.9
9,30008,0.333333333,0,2,-1,0,-2,0,0.166666667,1.1875,0.421052632,-0.789473684,0.15,0.166666667,-0.625,0.157894737,0.095238095,0.826086957,-0.142857143,0.181818182,-0.545454545,-0.666666667,0.1,-0.333333333,0.5
10,30009,-1.166666667,-0.111111111,0.4,0.666666667,1,1,1.846153846,1.304347826,3.115384615,2.111111111,0.78125,1.148148148,-0.857142857,0.5,0.625,-0.222222222,-0.769230769,-1.066666667,-1.321428571,-0.357142857,-0.7,-1.44,-1.35,-1.259259259
11,30010,-0.333333333,0,-1,0,0,1,1,0.928571429,1.458333333,0.866666667,0.4,-0.153846154,-0.214285714,-0.142857143,0.666666667,0.153846154,-0.80952381,-1.166666667,-0.315789474,-0.421052632,-0.111111111,0,0.363636364,0
12,30011,-1,-1,-1,0,0,-1,1.956521739,3.464285714,3.733333333,1.62962963,0.352941176,0.416666667,0.818181818,0.173913043,-0.055555556,-1.04,-0.37037037,-1.214285714,-1.185185185,-0.857142857,-1.045454545,-1.05,-0.466666667,0
13,30012,1,1,-0.5,0.5,1,0,-0.25,-0.111111111,-0.444444444,-0.714285714,-0.4,-0.083333333,0.5,2.285714286,-0.833333333,-0.230769231,-0.181818182,0,0.714285714,0.928571429,1.545454545,0.375,-1.666666667,-1.5
14,30013,-0.428571429,0,0.666666667,1,1,0,1.125,1.4,1.1,-0.5,0.5,0.384615385,-0.444444444,-0.277777778,-0.625,0,-1.086956522,-0.75,-0.72,-0.136363636,0.333333333,-0.157894737,-0.692307692,0.666666667
15,30014,0,-0.5,0,0,0,0,1.066666667,1.333333333,1.95,1.5,0.956521739,0.157894737,0.235294118,0,0,-0.111111111,-1.285714286,-1.931034483,-1.576923077,-0.45,-0.571428571,-0.8125,-0.777777778,0
16,30015,-0.363636364,-0.875,-1,1,0,0.25,1,1.05,-0.12,1.041666667,0.678571429,0.37037037,-0.115384615,0.041666667,0.095238095,-0.368421053,-0.666666667,-0.321428571,0.103448276,0.16,-0.875,-2,-0.476190476,-0.428571429
17,30016,-0.666666667,0,-1.333333333,0,1,1,0.8,1.5,0.5,0.444444444,-0.166666667,-0.153846154,0.357142857,-1.1,-0.833333333,-0.375,-0.25,-0.75,0.538461538,-0.3125,-0.666666667,-0.714285714,-1,-0.75
18,30017,-0.846153846,-0.571428571,-0.333333333,-0.714285714,-1,0,1,1.357142857,2.291666667,1.409090909,0.083333333,0.571428571,0,0.315789474,0.533333333,-0.8,0.210526316,-0.96,-0.964285714,-0.727272727,-0.619047619,-0.9375,-1.3,-0.4
19,30018,-0.6,-1.2,-1,-0.5,1,1,1.125,0.888888889,0.642857143,-0.368421053,0.5,0,0.857142857,-0.294117647,-0.266666667,-0.666666667,-0.176470588,0.454545455,-0.75,-0.4,0.285714286,-0.75,-1.333333333,0
20,30019,-1.2,0.666666667,0,1,0,0,-0.6,0.666666667,-0.444444444,-3.071428571,-0.892857143,1.068965517,-0.4,-2.533333333,-0.5,0.517241379,-0.548387097,0.678571429,0.9,-0.923076923,1.181818182,0.695652174,0.294117647,0.5
21,30020,0.333333333,3,1,0,0,0,1,1,0.5,0.375,0.4,-1,0.166666667,-0.6,0,0.166666667,-0.777777778,0,-0.615384615,-0.529411765,0.6,0.777777778,1.125,1.666666667
22,30021,1.5,1.5,1,1,0,1,1,0.45,0,-0.571428571,0.214285714,0,-0.8,0.722222222,-0.142857143,-0.8,-0.538461538,-0.038461538,-0.821428571,0.181818182,-0.411764706,0.125,1.285714286,2.4
23,30022,0.625,-2,0,-1,0,0,0.727272727,0.888888889,0.625,0.272727273,1,-1.125,0.2,0.733333333,0.3125,-0.666666667,-1.454545455,-0.8,0.4,0.625,-1.230769231,0.357142857,-0.111111111,-0.2
24,30023,1,1,-3,0,0,-1,-0.6,-1.15,-1.2,-0.555555556,-0.6,1,0.3,-0.5,0.857142857,0.428571429,0.428571429,0.142857143,0.230769231,0.285714286,0,-1,-0.666666667,0
25,30024,1.125,1.5,0.875,1,0,-1,-1.125,-2.275862069,-3.592592593,-4.103448276,-1.833333333,-0.64516129,1.068965517,0.551724138,0.935483871,2.166666667,3.933333333,1.84375,2.896551724,1.607142857,0.928571429,0.458333333,0.954545455,1
26,30025,0.5,1,1,0,0,0,-0.833333333,-1.608695652,-3.24137931,-3.642857143,-1.923076923,0.185185185,1.551724138,-0.833333333,-0.333333333,1.392857143,3.285714286,1.185185185,0.703703704,0.090909091,1.714285714,0.428571429,0.9,0.363636364
27,30026,1.333333333,0,1.5,0,0,-1.181818182,-2.074074074,-2,-2.333333333,-1,-0.529411765,0.2,0.321428571,0.44,0.045454545,1.555555556,1.407407407,2.148148148,1.142857143,1,-0.055555556,0.5,0,0.5
28,30027,0.5,1.166666667,-0.333333333,1,1,0.333333333,0,-0.6,-2,-2,-0.807692308,0.275862069,-0.892857143,0,0.62962963,0.615384615,-0.407407407,0.607142857,0.555555556,0.222222222,0.68,0.5,1.333333333,0.266666667
29,30028,0.333333333,1,1,0,1,0.846153846,0.130434783,-0.727272727,-2.357142857,0.142857143,0.071428571,0.846153846,0.238095238,0.166666667,-0.142857143,0.090909091,0.8,0.8,0,0,0.066666667,0.166666667,0.333333333,2.666666667
30,30029,0.666666667,0,-1,0,-1,-1,-2.25,-6.466666667,-8.551724138,-2.533333333,-0.84,0.178571429,-0.076923077,-0.826086957,0.269230769,3.827586207,8.103448276,4.774193548,3.892857143,1.777777778,0.764705882,0.904761905,0.25,-0.125
31,30030,-0.333333333,0,-1,-1,0,-1,0,0.681818182,1.392857143,1.678571429,1.714285714,0.869565217,-0.083333333,0.045454545,0.666666667,-0.476190476,-0.269230769,-2.344827586,0.2,0.695652174,0.904761905,-0.941176471,-1.214285714,-1
