,weekday,Stationnumber,A,E,M,Initial,Total docks
1,Mon,30000,-4,8,1,13,27
2,Mon,30001,-3,0,4,8,15
3,Mon,30002,0,0,-1,8,15
4,Mon,30003,0,-1,1,8,15
5,Mon,30004,0,5,-2,11,23
6,Mon,30005,-6,-3,4,8,15
7,Mon,30006,3,2,2,11,23
8,Mon,30007,7,3,-5,9,19
9,Mon,30008,1,1,-2,9,19
10,Mon,30009,-2,-6,12,13,27
11,Mon,30010,-2,-2,6,8,15
12,Mon,30011,-2,-6,10,9,19
13,Mon,30012,2,1,0,9,19
14,Mon,30013,-4,0,6,9,19
15,Mon,30014,-5,-3,7,8,15
16,Mon,30015,-1,-6,5,10,20
17,Mon,30016,-3,-5,5,11,23
18,Mon,30017,-1,-6,4,9,19
19,Mon,30018,-1,-5,4,8,17
20,Mon,30019,-1,1,-3,13,27
21,Mon,30020,-3,8,3,9,19
22,Mon,30021,-2,8,3,9,19
23,Mon,30022,-2,-2,3,8,15
24,Mon,30023,3,-2,-5,8,15
25,Mon,30024,13,8,-13,16,35
26,Mon,30025,7,6,-11,12,25
27,Mon,30026,7,5,-9,12,25
28,Mon,30027,1,4,-3,9,19
29,Mon,30028,3,6,-1,9,19
30,Mon,30029,20,3,-23,19,41
31,Mon,30030,-1,-3,3,11,23
32,Mon,30031,5,4,-5,11,23
33,Mon,30032,-6,1,6,8,15
34,Mon,30033,-1,-4,1,8,15
35,Mon,30034,-3,-3,4,11,23
36,Mon,30035,3,-1,-3,8,15
37,Mon,30037,0,2,3,8,15
38,Mon,30038,1,-1,0,8,15
39,Mon,30039,4,2,-8,9,19
40,Mon,30040,-1,-7,0,9,19
41,Mon,30041,-3,-4,7,8,15
42,Mon,30042,11,4,-13,11,23
43,Mon,30043,-3,0,0,9,19
44,Mon,30044,-2,0,2,8,15
45,Mon,30045,-3,0,2,9,19
46,Mon,30046,-2,1,6,9,19
47,Mon,30047,-2,-2,0,9,19
48,Mon,30048,-1,-3,2,8,15
49,Mon,30049,-3,-2,4,8,15
50,Mon,30050,6,-5,-5,13,27
51,Mon,30051,10,-5,-9,8,15
52,Mon,30052,-2,-1,1,8,15
53,Mon,30053,-2,9,-10,11,23
54,Mon,30054,1,-3,-2,8,15
55,Mon,30055,-4,3,2,12,24
56,Mon,30056,-4,-2,0,9,19
57,Mon,30057,3,0,-6,9,19
58,Mon,30058,4,3,-6,8,15
59,Mon,30059,-5,3,3,8,15
60,Mon,30060,-2,-5,9,11,23
61,Mon,30061,-2,0,1,9,19
62,Mon,30062,3,-1,-2,8,15
63,Mon,30063,2,2,-2,8,15
64,Mon,30064,-1,-2,3,8,15
65,Mon,30065,-1,-6,2,8,15
66,Mon,30066,-1,-1,1,8,15
67,Mon,30067,1,-1,-3,8,15
68,Mon,30068,-2,-4,-1,8,15
69,Mon,30069,-1,-2,3,8,15
70,Mon,30070,-2,-2,2,8,15
71,Mon,30071,1,-4,3,8,15
72,Mon,30073,1,-1,4,9,19
73,Mon,30074,0,-7,8,8,15
74,Mon,30075,-1,-5,3,8,15
75,Mon,30076,2,0,1,8,15
76,Mon,30077,-1,1,0,8,15
77,Mon,30078,1,-4,1,8,15
78,Mon,30079,0,1,2,8,15
79,Mon,30080,0,-3,-3,8,15
80,Mon,30081,-3,1,2,8,15
81,Mon,30082,4,-1,0,8,15
82,Mon,30083,2,-1,2,8,15
83,Mon,30085,0,-1,6,8,15
84,Mon,30086,-1,0,0,8,15
85,Mon,30087,1,-7,4,8,15
86,Mon,30088,-11,-10,19,13,27
